#,分类,标题,当前问题描述,期盼正确结果,优先级,状态,创建时间,修复时间,根因
1,界面,棋盘格子,左下角多出1个73，右上角37右边多出半格绿色,参照image61.png一共外围一圈68格,P0,Fixed,20260330,20260330,格子位置计算逻辑错误，每边应用18格而非17
2,界面,棋盘格子编号,格子编号错误，现在左下角为71号，每格都错位了1格。但是格子内容是正确的。现在显示编号2的格子，内容”出川赴京”，踩上后触发的是购买地皮”眉山私塾”,”参照image61.png和需求文档002，每格内的编号为””位置””列，显示内容为”名称”，左下角为0号，每往上1格编号+1，一直到左上角为18号，每往右1格编号+1，一直到右上角为36，每往下1格编号+1，一直到右下角为54，每往左1格编号+1，一直到71，再往左便回到0。当前名称正确，编号不正确，实际触发内容不正确。起点应该在左下角的格子内，这格编号0，内容”眉州”,P0,Pending on Verify,20260330,20260401,GameBoard.vue: getTilePosition移除tileIndex+1偏移；绘制时直接使用tile.id
3,界面,棋盘格子内容,格子显示内容,"参照image61.png和sushi.xlsx，每格内显示内容为""名称""列",P0,Fixed,20260330,20260330,待B00009修复后验证
4,界面,棋盘格子颜色,格子显示颜色,参照image61.png和需求文档001显示正确底色。可购地皮需为浅绿色,P0,Fixed,20260330,20260330,可购地皮颜色从米色改为浅绿色#90EE90
5,界面,棋盘中间区域,棋盘中间卡片区和需求参照素材图不符,Layout位置严格参照image66.png，显示货币堆，道具卡堆，惩罚卡堆，问答卡堆，诗词卡堆，4名玩家的房屋,P0,Pending on Verify,20260330,20260401,货币圆圈半径已从gridSize*0.8改为gridSize*0.4
6,功能,回合结束,"需要玩家点击""回合结束""按钮","参照需求文档001里的""回合结束""，应在完成地皮效果并判断当前玩家是否破产后，自动结束",P0,Fixed,20260330,20260330,handleTileEffect后自动调用autoEndTurn，有pendingAction时保持action阶段等待玩家选择
7,功能,可购地皮购买/升级,踩中尚未被购买的可购地皮，可以购买，并且可以一直选择升级升到3级,参照需求文档001里3.1.1，踩中1次只能根据当前地皮状态实现4种效果之一（不可能叠加实现2种效果，当前bug有可能是00006号bug导致的）: 如果当前无主，则可选择购买/不购买，购买则获得土地所有权并建造一级房屋；如果当前为自有地皮且为1级或2级，则可选择升级/不升级，升级则房屋等级+1；如果当前为自由地皮且为3级，则可获得奖金；如果当前为他人地皮，则根据地皮等级支付对应过路费给地皮拥有者,P0,Fixed,20260330,20260330,B00006修复后此问题一并解决
8,功能,事件触发,"踩中""考中进士""格，未触发任何事件","参照需求文档002，应触发问答事件""考中进士""",P0,Fixed,20260330,20260331,shared/cards.ts已包含需求文档001中4.1的15道问答题和4.2的9首诗词
9,界面,棋盘格子,棋盘格子1-35无显示,显示每1格,P0,Fixed,20260330,20260330,getTilePosition函数中每段格子位置计算使用了(tileIndex + 1)导致偏移错误，修正为正确计算各段起始位置
10,功能,停留,停留3回合，但每回合依旧可以投骰子，只是不一定,停留中的玩家在停留回合，界面显示该玩家停留中，还剩x回合，自动结束回合进入下一玩家,P1,Pending on Verify,20260330,20260330,App.vue中canRoll条件添加!isStaying，dice按钮在停留玩家时禁用
11,功能,事件触发,第36格特殊事件效果未触发，也没有文字说该功能待实现,正确触发效果，玩家资产扣除到1000（不足1000则破产）,P0,Pending on Verify,20260330,20260330,"handleTileEffect中special类型判断逻辑错误，tile.name不包含""乌台诗案""，应检查tile.description"
12,界面,棋盘太小,字体模糊且太小，且字在格子外不美观,调整布局，将游戏区和信息区放到左边在玩家信息之下（避免当前要往下翻页才能看见操作区）。字体要清晰，并调大一点。整体棋盘位置再上上一点,P0,Pending on Verify,20260330,20260331,boardSize改为800；padding改为25增大格子；字体11/12px；board-container上移-20px
13,功能,AI玩家不行动,选了1名玩家+3名AI玩家，玩家回合结束后，AI玩家没动作，游戏卡死,AI玩家会正常进行游戏,P1,Fixed,20260331,20260331,App.vue AI watch已添加punishment类型处理
